"team_name","league","country","season","transfer_type","player_name","player_url","player_position","player_age","player_nationality","club_2","league_2","country_2","transfer_fee","is_loan","transfer_notes","window","in_squad","appearances","goals","minutes_played"
"Atlético de Madrid","LaLiga","Spain","2024","Arrivals","Samu Aghehowa","https://www.transfermarkt.com/samu-aghehowa/profil/spieler/991268","Centre-Forward","20","Spain","Alavés","LaLiga","Spain",NA,TRUE,"End of loan 30/06/2024","Summer",NA,NA,NA,NA
"Atlético de Madrid","LaLiga","Spain","2024","Arrivals","João Félix","https://www.transfermarkt.com/joao-felix/profil/spieler/462250","Second Striker","24","Portugal","Barcelona","LaLiga","Spain",NA,TRUE,"End of loan 30/06/2024","Summer",NA,NA,NA,NA
"Atlético de Madrid","LaLiga","Spain","2024","Arrivals","Çağlar Söyüncü","https://www.transfermarkt.com/caglar-soyuncu/profil/spieler/320141","Centre-Back","28","Türkiye","Fenerbahçe","Süper Lig","Türkiye",NA,TRUE,"End of loan 30/06/2024","Summer",NA,NA,NA,NA
"Atlético de Madrid","LaLiga","Spain","2024","Arrivals","Javi Galán","https://www.transfermarkt.com/javi-galan/profil/spieler/448628","Left-Back","29","Spain","Real Sociedad","LaLiga","Spain",NA,TRUE,"End of loan 30/06/2024","Summer",55,40,0,2861
"Atlético de Madrid","LaLiga","Spain","2024","Arrivals","Carlos Martín","https://www.transfermarkt.com/carlos-martin/profil/spieler/618813","Left Winger","22","Spain","CD Mirandés","LaLiga2","Spain",NA,TRUE,"End of loan 30/06/2024","Summer",3,0,0,0
"Atlético de Madrid","LaLiga","Spain","2024","Arrivals","Víctor Mollejo","https://www.transfermarkt.com/victor-mollejo/profil/spieler/505673","Right Winger","23","Spain","Real Zaragoza","LaLiga2","Spain",NA,TRUE,"End of loan 30/06/2024","Summer",0,0,0,0
"Atlético de Madrid","LaLiga","Spain","2024","Arrivals","Giuliano Simeone","https://www.transfermarkt.com/giuliano-simeone/profil/spieler/742201","Right Winger","21","Argentina","Alavés","LaLiga","Spain",NA,TRUE,"End of loan 30/06/2024","Summer",58,50,5,3064
"Atlético de Madrid","LaLiga","Spain","2024","Arrivals","Borja Garcés","https://www.transfermarkt.com/borja-garces/profil/spieler/566036","Centre-Forward","24","Spain","Elche CF","LaLiga2","Spain",NA,TRUE,"End of loan 30/06/2024","Summer",0,0,0,0
"Atlético de Madrid","LaLiga","Spain","2024","Arrivals","Germán Valera","https://www.transfermarkt.com/german-valera/profil/spieler/548188","Right Winger","22","Spain","Real Zaragoza","LaLiga2","Spain",NA,TRUE,"End of loan 30/06/2024","Summer",0,0,0,0
"Atlético de Madrid","LaLiga","Spain","2024","Arrivals","Santiago Mouriño","https://www.transfermarkt.com/santiago-mourino/profil/spieler/953901","Right-Back","22","Uruguay","Real Zaragoza","LaLiga2","Spain",NA,TRUE,"End of loan 30/06/2024","Summer",0,0,0,0
"Atlético de Madrid","LaLiga","Spain","2024","Arrivals","Javi Serrano","https://www.transfermarkt.com/javi-serrano/profil/spieler/668177","Central Midfield","21","Spain","Sturm Graz","Bundesliga","Austria",NA,TRUE,"End of loan 30/06/2024","Summer",11,2,0,90
"Atlético de Madrid","LaLiga","Spain","2024","Arrivals","Marcos Paulo","https://www.transfermarkt.com/marcos-paulo/profil/spieler/612496","Left Winger","23","Portugal","RWDM Brussels","Challenger Pro League","Belgium",NA,TRUE,"End of loan 07/11/2024","Winter",0,0,0,0
"Athletic Bilbao","LaLiga","Spain","2024","Arrivals","Álvaro Djaló","https://www.transfermarkt.com/alvaro-djalo/profil/spieler/671649","Left Winger","24","Guinea-Bissau","Braga","Liga Portugal","Portugal",1.5e+07,FALSE,NA,"Summer",45,28,1,976
"Athletic Bilbao","LaLiga","Spain","2024","Arrivals","Andoni Gorosabel","https://www.transfermarkt.com/andoni-gorosabel/profil/spieler/289255","Right-Back","27","Spain","Alavés","LaLiga","Spain",0,FALSE,NA,"Summer",53,30,0,1985
"Athletic Bilbao","LaLiga","Spain","2024","Arrivals","Unai Núñez","https://www.transfermarkt.com/unai-nunez/profil/spieler/338285","Centre-Back","27","Spain","Celta de Vigo","LaLiga","Spain",NA,TRUE,"loan transfer","Summer",50,15,0,994
"Athletic Bilbao","LaLiga","Spain","2024","Arrivals","Mikel Jauregizar","https://www.transfermarkt.com/mikel-jauregizar/profil/spieler/938729","Central Midfield","20","Spain","Bilbao Athletic","Primera Federación - Gr. I","Spain",NA,FALSE,"-","Summer",52,48,3,3310
"Athletic Bilbao","LaLiga","Spain","2024","Arrivals","Urko Izeta","https://www.transfermarkt.com/urko-izeta/profil/spieler/610622","Centre-Forward","24","Spain","Bilbao Athletic","Primera Federación - Gr. I","Spain",NA,FALSE,"-","Summer",NA,NA,NA,NA
"Athletic Bilbao","LaLiga","Spain","2024","Arrivals","Adama Boiro","https://www.transfermarkt.com/adama-boiro/profil/spieler/710671","Left-Back","22","Spain","Bilbao Athletic","Primera Federación - Gr. I","Spain",NA,FALSE,"-","Summer",50,20,1,1270
"Athletic Bilbao","LaLiga","Spain","2024","Arrivals","Hugo Rincón","https://www.transfermarkt.com/hugo-rincon/profil/spieler/834487","Right-Back","21","Spain","Bilbao Athletic","Primera Federación - Gr. I","Spain",NA,FALSE,"-","Summer",NA,NA,NA,NA
"Athletic Bilbao","LaLiga","Spain","2024","Arrivals","Álex Padilla","https://www.transfermarkt.com/alex-padilla/profil/spieler/834483","Goalkeeper","20","Mexico","Bilbao Athletic","Primera Federación - Gr. I","Spain",NA,FALSE,"-","Summer",17,5,0,320
"Athletic Bilbao","LaLiga","Spain","2024","Arrivals","Unai Egiluz","https://www.transfermarkt.com/unai-egiluz/profil/spieler/834485","Centre-Back","22","Spain","Bilbao Athletic","Primera Federación - Gr. I","Spain",NA,FALSE,"-","Summer",3,0,0,0
"Athletic Bilbao","LaLiga","Spain","2024","Arrivals","Unai Núñez","https://www.transfermarkt.com/unai-nunez/profil/spieler/338285","Centre-Back","27","Spain","Celta de Vigo","LaLiga","Spain",NA,TRUE,"End of loan 30/06/2024","Summer",50,15,0,994
"Athletic Bilbao","LaLiga","Spain","2024","Arrivals","Unai Vencedor","https://www.transfermarkt.com/unai-vencedor/profil/spieler/610083","Central Midfield","23","Spain","SD Eibar","LaLiga2","Spain",NA,TRUE,"End of loan 30/06/2024","Summer",NA,NA,NA,NA
"Athletic Bilbao","LaLiga","Spain","2024","Arrivals","Nico Serrano","https://www.transfermarkt.com/nico-serrano/profil/spieler/668183","Left Winger","21","Spain","Racing Ferrol","LaLiga2","Spain",NA,TRUE,"End of loan 30/06/2024","Summer",28,10,1,265
"Athletic Bilbao","LaLiga","Spain","2024","Arrivals","Jon Morcillo","https://www.transfermarkt.com/jon-morcillo/profil/spieler/455349","Left Winger","25","Spain","SD Amorebieta","LaLiga2","Spain",NA,TRUE,"End of loan 30/06/2024","Summer",NA,NA,NA,NA
"Athletic Bilbao","LaLiga","Spain","2024","Arrivals","Javi Martón","https://www.transfermarkt.com/javi-marton/profil/spieler/711394","Centre-Forward","25","Spain","CD Mirandés","LaLiga2","Spain",NA,TRUE,"End of loan 30/06/2024","Summer",22,4,1,51
"Athletic Bilbao","LaLiga","Spain","2024","Arrivals","Juan Artola","https://www.transfermarkt.com/juan-artola/profil/spieler/626960","Right Winger","24","Spain","AD Alcorcón","LaLiga2","Spain",NA,TRUE,"End of loan 30/06/2024","Summer",NA,NA,NA,NA
"Athletic Bilbao","LaLiga","Spain","2024","Arrivals","Maroan Sannadi","https://www.transfermarkt.com/maroan-sannadi/profil/spieler/1054934","Centre-Forward","24","Morocco","Alavés","LaLiga","Spain",3e+06,FALSE,NA,"Winter",23,22,1,1207
"Real Sociedad","LaLiga","Spain","2024","Arrivals","Orri Óskarsson","https://www.transfermarkt.com/orri-oskarsson/profil/spieler/660438","Centre-Forward","20","Iceland","Copenhagen","Superliga","Denmark",2e+07,FALSE,NA,"Summer",41,37,7,1456
"Real Sociedad","LaLiga","Spain","2024","Arrivals","Luka Sucic","https://www.transfermarkt.com/luka-sucic/profil/spieler/502722","Central Midfield","21","Croatia","Salzburg","Bundesliga","Austria",1e+07,FALSE,NA,"Summer",48,40,3,2488
"Real Sociedad","LaLiga","Spain","2024","Arrivals","Sergio Gómez","https://www.transfermarkt.com/sergio-gomez/profil/spieler/366930","Left-Back","23","Spain","Man City","Premier League","England",8700000,FALSE,NA,"Summer",57,49,5,3301
"Real Sociedad","LaLiga","Spain","2024","Arrivals","Javi López","https://www.transfermarkt.com/javi-lopez/profil/spieler/568158","Left-Back","22","Spain","Alavés","LaLiga","Spain",6500000,FALSE,NA,"Summer",54,38,0,2420
"Real Sociedad","LaLiga","Spain","2024","Arrivals","Nayef Aguerd","https://www.transfermarkt.com/nayef-aguerd/profil/spieler/361914","Centre-Back","28","Morocco","West Ham","Premier League","England",NA,TRUE,"loan transfer","Summer",40,36,0,2928
"Real Sociedad","LaLiga","Spain","2024","Arrivals","Jon Aramburu","https://www.transfermarkt.com/jon-aramburu/profil/spieler/661145","Right-Back","21","Venezuela","Real Sociedad B","Primera Federación - Gr. I","Spain",NA,FALSE,"-","Summer",53,49,1,3352
"Real Sociedad","LaLiga","Spain","2024","Arrivals","Jon Martín","https://www.transfermarkt.com/jon-martin/profil/spieler/1018938","Centre-Back","18","Spain","Real Sociedad B","Primera Federación - Gr. I","Spain",NA,FALSE,"-","Summer",54,17,0,1245
"Real Sociedad","LaLiga","Spain","2024","Arrivals","Pablo Marín","https://www.transfermarkt.com/pablo-marin/profil/spieler/907813","Attacking Midfield","20","Spain","Real Sociedad B","Primera Federación - Gr. I","Spain",NA,FALSE,"-","Summer",51,38,2,2161
"Real Sociedad","LaLiga","Spain","2024","Arrivals","Jon Magunazelaia","https://www.transfermarkt.com/jon-magunazelaia/profil/spieler/625655","Attacking Midfield","22","Spain","Real Sociedad B","Primera Federación - Gr. I","Spain",NA,FALSE,"-","Summer",23,5,1,191
